youtube_link,p1_character,p2_character
www.youtube.com/embed/2iDphhgsLsA?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Captain Falcon,Fox
www.youtube.com/embed/SWO6Ma-JXTE?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Captain Falcon,Marth
www.youtube.com/embed/YfmNoc9_twQ?start=55&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Peach,Falco
www.youtube.com/embed/aUa8U9Tcwuw?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Marth,Peach
www.youtube.com/embed/R4njaU2eHtk?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Falco,Fox
www.youtube.com/embed/a-7XsGK5xTc?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Falco,Sheik
www.youtube.com/embed/QzUkqwXetzs?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Peach
www.youtube.com/embed/M-abDzFIcPM?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Pikachu
www.youtube.com/embed/_uhWXe00dQ8?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Peach
www.youtube.com/embed/_d2dEj_CVRY?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Captain Falcon,Sheik
www.youtube.com/embed/zuFvCIXzP-k?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Falco
www.youtube.com/embed/AAW344yiwsQ?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Peach
www.youtube.com/embed/audLuemoBWA?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Jigglypuff,Sheik
www.youtube.com/embed/PulrYB8EcDk?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Captain Falcon,Fox
www.youtube.com/embed/R3dnfeKpxrE?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Marth,Mario
www.youtube.com/embed/J_DiwB2CMcA?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Jigglypuff,Sheik
www.youtube.com/embed/QBC9vkDpkzs?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Jigglypuff,Fox
www.youtube.com/embed/Id9YUzJZoJo?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Ice Climbers,Captain Falcon
www.youtube.com/embed/3VQDGINcVW0?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Jigglypuff
www.youtube.com/embed/LZ5SFQxUMHQ?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Marth,Falco
www.youtube.com/embed/dvmVBC5msbM?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Captain Falcon,Falco
www.youtube.com/embed/K3YF7deTItk?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Falco,Falco
www.youtube.com/embed/-Pb3vG4PI-k?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Falco,Jigglypuff
www.youtube.com/embed/5_acbSAC-Yo?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Jigglypuff
www.youtube.com/embed/feUjL72HNlY?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Jigglypuff,Falco
www.youtube.com/embed/eINwJKnlEc8?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Falco,Falco
www.youtube.com/embed/30095kVLJRc?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Sheik
www.youtube.com/embed/svkuVFc03Vs?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Falco
www.youtube.com/embed/EszEI_l0Oik?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Falco,Captain Falcon
www.youtube.com/embed/Ut2QBUQtJag?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Luigi,Falco
www.youtube.com/embed/_OrhuU7o1Kk?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Jigglypuff,Fox
www.youtube.com/embed/7kmx7zF7vrs?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Marth,Falco
www.youtube.com/embed/jkesCP562zA?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Captain Falcon,Falco
www.youtube.com/embed/4V5MCfNgR7M?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Falco,Falco
www.youtube.com/embed/Aq9X5L_YChA?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Falco
www.youtube.com/embed/LlycxlVzDNw?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Captain Falcon,Falco
www.youtube.com/embed/vUkrbK-phBg?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Falco
www.youtube.com/embed/hIFGYZ31_z8?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Falco,Captain Falcon
www.youtube.com/embed/OTeRJ_c6rX4?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Falco
www.youtube.com/embed/Mj3Bvmq17jw?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Sheik,Fox
www.youtube.com/embed/qxlYtuAvwhk?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Luigi,Falco
www.youtube.com/embed/yofe7UPm9XA?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Falco,Falco
www.youtube.com/embed/TPynAsSZVLc?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Samus
www.youtube.com/embed/AQP5vWEw8iU?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Sheik,Marth
www.youtube.com/embed/57doYFZqzDY?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Fox
www.youtube.com/embed/thy-1M7yaT8?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Jigglypuff
www.youtube.com/embed/eijQOxHdqvk?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Jigglypuff,Captain Falcon
www.youtube.com/embed/Hn7cz4KE-Gc?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Falco,Captain Falcon
www.youtube.com/embed/R740FS2QTfM?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Jigglypuff,Fox
www.youtube.com/embed/pAy59smQDow?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Falco,Fox
www.youtube.com/embed/Ng4SCnqj2cw?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Captain Falcon,Peach
www.youtube.com/embed/m1dIEBOUZ08?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Peach,Sheik
www.youtube.com/embed/uun0iCxmty4?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Falco,Jigglypuff
www.youtube.com/embed/7-iOzL9h130?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Jigglypuff,Sheik
www.youtube.com/embed/U7VWfR27brs?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Peach,Fox
www.youtube.com/embed/ShiOzs8Sz4s?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Sheik,Peach
www.youtube.com/embed/d4uuRopv2n8?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Jigglypuff,Falco
www.youtube.com/embed/owDrd2Ie3oI?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Sheik,Falco
www.youtube.com/embed/6YEhxVkvSLM?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Falco,Captain Falcon
www.youtube.com/embed/XtxlaRtazlg?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Falco,Falco
www.youtube.com/embed/iOXjhZU6dlo?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Pikachu,Marth
www.youtube.com/embed/PjUGC129M8s?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Mario
www.youtube.com/embed/p80TXUUO-1Q?start=111&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Jigglypuff
www.youtube.com/embed/osLiPkAsGnM?start=55&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Captain Falcon
www.youtube.com/embed/OUCD4ffzIVQ?start=65&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Captain Falcon
www.youtube.com/embed/Yzz4ftO0Dgg?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Jigglypuff,Captain Falcon
www.youtube.com/embed/o50LnoseetM?start=81&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Captain Falcon
www.youtube.com/embed/XARFZS7lcFU?start=50&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Sheik,Captain Falcon
www.youtube.com/embed/mnwZbCZ0izw?start=103&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Jigglypuff
www.youtube.com/embed/Azc37jtf5aM?start=66&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Captain Falcon
www.youtube.com/embed/yQhU3muq1Xs?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Captain Falcon,Fox
www.youtube.com/embed/_rKBQ1JtH3k?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Captain Falcon,Jigglypuff
www.youtube.com/embed/hqIgXEb4pD8?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Captain Falcon
www.youtube.com/embed/VgCG9iXgZzY?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Sheik,Sheik
www.youtube.com/embed/3uBujTGQM74?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Jigglypuff,Marth
www.youtube.com/embed/3N4i_xYIkmM?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Captain Falcon
www.youtube.com/embed/GlddpSdOLmM?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Samus,Captain Falcon
www.youtube.com/embed/mb6WVIp3YY0?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Sheik,Marth
www.youtube.com/embed/4EJyIDfYKIQ?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Marth
www.youtube.com/embed/G8-Y-4-6Kiw?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Ice Climbers,Marth
www.youtube.com/embed/zJO6CG1RNR4?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Captain Falcon
www.youtube.com/embed/uItuBWGdwHk?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Sheik,Link
www.youtube.com/embed/y_YRTMxrnZ4?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Falco,Jigglypuff
www.youtube.com/embed/WI5l3MviTck?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Marth,Falco
www.youtube.com/embed/idFUnNklRqQ?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Marth,Falco
www.youtube.com/embed/tJQdlFP2rAM?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Jigglypuff,Fox
www.youtube.com/embed/-DqoAEZLHDo?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Falco,Captain Falcon
www.youtube.com/embed/ZnZaZmiskbc?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Marth,Jigglypuff
www.youtube.com/embed/K7p5kAX5AtA?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Falco
www.youtube.com/embed/ZhsgkQIqJyE?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Jigglypuff,Ganondorf
www.youtube.com/embed/F8V_ZBSIzRk?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Falco,Sheik
www.youtube.com/embed/HFavGVyz8pc?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Peach
www.youtube.com/embed/Fv_7ePz-GIk?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Jigglypuff,Fox
www.youtube.com/embed/hGfSD7mJ2RQ?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Jigglypuff,Marth
www.youtube.com/embed/INIF6dCupN8?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Fox
www.youtube.com/embed/uditdQFGmlU?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Jigglypuff
www.youtube.com/embed/0xRSmJkIKJY?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Marth,Jigglypuff
www.youtube.com/embed/47wJuVQMkNM?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Fox
www.youtube.com/embed/BcSPznY1Az8?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Sheik,Captain Falcon
www.youtube.com/embed/7NXiYUgBgXs?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Marth
www.youtube.com/embed/Ms6EHmRsAxw?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Falco,Marth
www.youtube.com/embed/d0iuK89lIF0?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Marth,Sheik
www.youtube.com/embed/wLTbHprptU8?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Jigglypuff,Sheik
www.youtube.com/embed/YUocJmCTTZ0?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Falco,Captain Falcon
www.youtube.com/embed/H86Cd1Yks0Q?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Peach
www.youtube.com/embed/ncc_niIU4oA?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Falco,Sheik
www.youtube.com/embed/i0EEVBNpp-A?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Captain Falcon
www.youtube.com/embed/-b4X_5cQkbg?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Sheik,Falco
www.youtube.com/embed/iHXkAUmGR0w?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Jigglypuff
www.youtube.com/embed/SSfw7tn57A8?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Captain Falcon,Sheik
www.youtube.com/embed/iHNJ3qbUGkc?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Falco,Sheik
www.youtube.com/embed/5U6RXGjpEII?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Peach,Falco
www.youtube.com/embed/lKzES3pq7MQ?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Peach,Sheik
www.youtube.com/embed/qWpi55jTb_Y?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Jigglypuff,Falco
www.youtube.com/embed/JMs4nnutG8Q?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Marth,Captain Falcon
www.youtube.com/embed/jq_hB0zICHQ?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Fox
www.youtube.com/embed/8uTprQ1cWBY?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Sheik,Fox
www.youtube.com/embed/nDoyq6z77Qc?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Jigglypuff,Peach
www.youtube.com/embed/POT1sYTH7Rg?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Marth,Sheik
www.youtube.com/embed/TLhY0yk22jE?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Sheik
www.youtube.com/embed/pEMdlgE86C4?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Captain Falcon,Sheik
www.youtube.com/embed/4n2n1rodF18?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Fox
www.youtube.com/embed/6_uBM94CgXk?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Pichu,Link
www.youtube.com/embed/hq3rFrSWpak?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Captain Falcon,Fox
www.youtube.com/embed/7_Hobjuvawg?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Falco,Captain Falcon
www.youtube.com/embed/0RraRd2ErAQ?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Captain Falcon,Fox
www.youtube.com/embed/nldZUz3J5G8?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Falco,Falco
www.youtube.com/embed/8vB0bnf9oKw?start=54&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Falco,Marth
www.youtube.com/embed/uwHsQIUJ3SE?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Falco,Fox
www.youtube.com/embed/aQjInitirps?start=66&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Falco,Fox
www.youtube.com/embed/nWn9IIH83ow?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Captain Falcon,Marth
www.youtube.com/embed/cUC3nsaQo6k?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Falco,Fox
www.youtube.com/embed/y8J7b8PwpMQ?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Yoshi,Fox
www.youtube.com/embed/XmhUMgQnEgA?start=73&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Yoshi,Falco
www.youtube.com/embed/Yh5T3RKtBaQ?start=46&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Captain Falcon,Fox
www.youtube.com/embed/q2CHUN5ix3I?start=69&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Marth,Falco
www.youtube.com/embed/l3ozydwCjjQ?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Jigglypuff,Marth
www.youtube.com/embed/zyCY8gjVzYM?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Fox
www.youtube.com/embed/T730RC0czzE?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Captain Falcon,Marth
www.youtube.com/embed/MJ0jdjPuneY?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Jigglypuff,Sheik
www.youtube.com/embed/J50G1OfwWF4?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Falco,Fox
www.youtube.com/embed/K1_f7Op2hKM?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Sheik,Yoshi
www.youtube.com/embed/UdnyohZHWLI?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Sheik,Falco
www.youtube.com/embed/5njRxIAgS-o?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Fox
www.youtube.com/embed/fmNYx4ntuBM?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Marth,Captain Falcon
www.youtube.com/embed/bTib2GEYAiE?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Falco,Peach
www.youtube.com/embed/q7_0-GFX7Hw?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Marth
www.youtube.com/embed/Po4BYAKyC9U?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Yoshi
www.youtube.com/embed/GAx-Jd69qOQ?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Marth,Fox
www.youtube.com/embed/QdKG7zi8aqY?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Captain Falcon,Fox
www.youtube.com/embed/djk6dpHbq04?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Falco
www.youtube.com/embed/fNQoQVkDOoE?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Sheik
www.youtube.com/embed/Ej7NXUAf2Ys?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Fox
